155.98973|-57.77007|1679b-12-2180 |155.98973|-57.77007| 0.96| 2.36|21.47| 0.25|20.50| 0.04|18.14| 0.01|17.82| 0.03|18.18| 0.02|16.78| 0.01
155.99184|-57.79519|1679a-15-5250 |155.99184|-57.79519| 0.91| 2.25|21.62| 0.22|20.71| 0.05|18.45| 0.02|     |     |     |     |     |
156.00366|-57.78137|1679a-15-270  |156.00366|-57.78137| 0.94| 2.32|20.28| 0.07|19.34| 0.02|17.03| 0.01|16.51| 0.01|17.04| 0.01|15.66| 0.01
156.00366|-57.78138|1679b-12-1947 |156.00366|-57.78138| 1.11| 2.38|20.52| 0.10|19.41| 0.02|17.03| 0.01|     |     |17.05| 0.01|15.64| 0.01
155.98408|-57.75834|1679a-15-935  |155.98408|-57.75834| 0.26| 1.73|15.59| 0.00|15.33| 0.00|13.60| 0.00|13.19| 0.01|13.61| 0.00|12.61| 0.00
155.98409|-57.75835|1679b-12-5177 |155.98409|-57.75835| 0.25| 1.75|15.59| 0.01|15.34| 0.00|13.58| 0.00|13.25| 0.00|13.61| 0.00|12.56| 0.01
155.98712|-57.75423|1679a-15-5108 |155.98712|-57.75423| 0.51| 1.83|17.66| 0.01|17.15| 0.01|15.32| 0.00|14.50| 0.01|15.32| 0.00|14.29| 0.00
155.98713|-57.75423|1679b-12-2611 |155.98713|-57.75423| 0.48| 1.87|17.64| 0.02|17.16| 0.01|15.29| 0.00|14.66| 0.01|15.33| 0.01|14.23| 0.01
155.98808|-57.75738|1679a-15-966  |155.98808|-57.75738| 0.51| 1.82|18.22| 0.02|17.71| 0.01|15.89| 0.00|15.48| 0.01|15.90| 0.01|14.86| 0.00
155.98809|-57.75739|1679b-12-2526 |155.98809|-57.75739| 0.50| 1.84|18.22| 0.03|17.71| 0.01|15.87| 0.00|15.55| 0.01|15.90| 0.01|14.80| 0.01
155.98984|-57.76538|1679b-12-2309 |155.98984|-57.76538| 0.70| 2.01|20.96| 0.14|20.26| 0.03|18.24| 0.01|17.92| 0.03|18.27| 0.02|17.07| 0.01
155.99026|-57.75309|1679a-15-1108 |155.99026|-57.75309| 0.95| 1.89|20.54| 0.08|19.58| 0.02|17.69| 0.01|17.27| 0.02|17.72| 0.01|16.61| 0.01
155.99027|-57.75310|1679b-12-2642 |155.99027|-57.75310| 0.97| 1.96|20.61| 0.12|19.64| 0.02|17.68| 0.01|17.37| 0.02|17.72| 0.01|16.55| 0.01
155.99050|-57.75953|1679a-15-894  |155.99050|-57.75953| 0.40| 1.79|18.19| 0.02|17.79| 0.01|15.99| 0.00|15.59| 0.01|16.01| 0.01|14.99| 0.01
155.99050|-57.75953|1679b-12-2464 |155.99050|-57.75953| 0.42| 1.79|18.20| 0.02|17.78| 0.01|15.99| 0.00|15.67| 0.01|16.01| 0.01|14.95| 0.01
155.99167|-57.76362|1679a-15-5089 |155.99167|-57.76362| 0.61| 2.11|15.06| 0.00|14.45| 0.00|12.34| 0.00|     |     |12.37| 0.00|     |
155.99168|-57.76362|1679b-12-5155 |155.99168|-57.76362| 0.59| 2.13|15.05| 0.00|14.46| 0.00|12.33| 0.00|11.77| 0.00|12.35| 0.00|     |
155.99290|-57.75811|1679a-15-948  |155.99290|-57.75811| 0.73| 2.02|19.77| 0.05|19.04| 0.01|17.02| 0.01|16.65| 0.02|17.03| 0.01|15.89| 0.01
155.99291|-57.75812|1679b-12-2505 |155.99291|-57.75812| 0.79| 1.99|19.80| 0.06|19.00| 0.01|17.01| 0.01|16.72| 0.02|17.04| 0.01|15.82| 0.01
155.99349|-57.75361|1679a-15-1088 |155.99349|-57.75361| 0.60| 1.95|17.77| 0.02|17.17| 0.01|15.22| 0.00|14.80| 0.01|15.23| 0.01|14.11| 0.00
155.99350|-57.75362|1679b-12-2622 |155.99350|-57.75362| 0.54| 1.98|17.71| 0.01|17.18| 0.01|15.19| 0.00|14.89| 0.01|15.23| 0.00|14.05| 0.01
155.99383|-57.75867|1679a-15-924  |155.99383|-57.75867| 0.49| 1.86|17.96| 0.02|17.47| 0.01|15.61| 0.01|15.19| 0.01|15.61| 0.00|14.55| 0.00
155.99384|-57.75867|1679b-12-5173 |155.99384|-57.75867| 0.46| 1.91|17.93| 0.02|17.48| 0.01|15.57| 0.00|15.27| 0.01|15.61| 0.00|14.50| 0.01
155.99427|-57.75516|1679a-15-1041 |155.99427|-57.75516| 0.80| 1.82|20.51| 0.11|19.71| 0.02|17.90| 0.01|17.58| 0.03|17.94| 0.01|16.88| 0.01
155.99428|-57.75517|1679b-12-2585 |155.99428|-57.75517| 0.88| 1.82|20.58| 0.11|19.70| 0.02|17.88| 0.01|17.63| 0.04|17.97| 0.01|16.84| 0.01
155.99462|-57.76609|1679a-15-688  |155.99462|-57.76609| 0.80| 2.13|21.00| 0.13|20.21| 0.03|18.07| 0.01|17.64| 0.03|18.07| 0.02|16.88| 0.01
