#RA2000 DEC2000
156.13728 -57.78720
156.13726 -57.79146
156.13727 -57.79428
156.13713 -57.79682
156.13691 -57.80053
156.13730 -57.78721
156.13730 -57.79427
156.13757 -57.80231
156.13883 -57.80490
156.13910 -57.78717
156.13911 -57.80115
156.13905 -57.80423
156.13915 -57.80610
156.13958 -57.78558
156.13957 -57.78558
156.13974 -57.80194
156.14012 -57.79450
156.14010 -57.79451
156.14008 -57.80846
156.14140 -57.78213
156.14179 -57.78382
156.14178 -57.78382
156.14152 -57.79167
156.14148 -57.79166
156.14175 -57.80269
156.14335 -57.79063
156.14335 -57.79063
156.14479 -57.79215
156.14439 -57.80299
156.14492 -57.78598
156.14492 -57.78598
156.14484 -57.79216
156.14496 -57.79940
156.14555 -57.79862
156.14604 -57.78507
156.14603 -57.78507
156.14594 -57.79798
156.14576 -57.80242
156.14620 -57.79376
156.14615 -57.79494
156.14682 -57.79411
156.14717 -57.80104
156.14706 -57.80126
156.14734 -57.79134
156.14734 -57.79135
156.14773 -57.78898
156.14773 -57.78898
156.14811 -57.78969
156.14867 -57.79854
156.14969 -57.78949
156.14941 -57.79573
156.15029 -57.79389
156.15106 -57.79431
156.15106 -57.79432
156.15193 -57.79467
156.15191 -57.79468
156.15229 -57.79113
156.15229 -57.79114
156.14753 -57.77721
156.14752 -57.77722
156.14826 -57.78090
156.14826 -57.78090
156.14853 -57.78268
156.14973 -57.77003
156.14973 -57.77003
156.14946 -57.77252
156.14946 -57.77252
156.15059 -57.78019
156.15058 -57.78019
156.15099 -57.77432
156.15100 -57.77433
156.15109 -57.77586
156.15166 -57.77526
156.15165 -57.77526
156.15180 -57.77866
156.15180 -57.77866
156.15186 -57.78402
156.15187 -57.78403
156.15204 -57.77182
156.15203 -57.77183
156.15197 -57.78230
156.15197 -57.78230
156.15227 -57.78359
156.15228 -57.78361
156.15239 -57.77723
156.15271 -57.78390
156.15270 -57.78390
156.08002 -57.77926
156.08063 -57.78071
156.08114 -57.78104
156.08118 -57.78103
156.08217 -57.77705
156.08224 -57.77893
156.08223 -57.77893
156.08371 -57.78209
156.08371 -57.78209
156.08554 -57.77627
156.08555 -57.77627
156.08604 -57.76847
156.08604 -57.76848
156.08588 -57.77430
156.08589 -57.77429
156.08606 -57.77084
156.08607 -57.77084
156.08667 -57.77244
156.08668 -57.77244
156.08673 -57.77711
156.08674 -57.77711
156.08755 -57.77643
156.08798 -57.77596
156.08796 -57.77595
156.08783 -57.78304
156.08783 -57.78305
156.08819 -57.78483
156.08878 -57.77911
156.08868 -57.77986
156.08868 -57.77985
156.08938 -57.77915
156.08938 -57.77915
156.09035 -57.77073
156.09035 -57.77672
156.09037 -57.77672
156.09033 -57.77999
156.09058 -57.78123
156.09056 -57.78125
156.09071 -57.76306
156.09072 -57.76306
156.09092 -57.78529
156.09093 -57.78530
156.09153 -57.78449
156.09153 -57.78450
156.09196 -57.76846
156.09199 -57.76848
156.09194 -57.78050
156.09227 -57.78613
156.09227 -57.78614
156.09264 -57.76791
156.09286 -57.75946
156.09304 -57.77830
156.09340 -57.76887
156.09342 -57.76888
156.09335 -57.77828
156.09334 -57.78060
156.09375 -57.75914
156.09378 -57.75915
156.09387 -57.77599
156.09431 -57.75855
156.09432 -57.75855
156.09430 -57.76419
156.09432 -57.76419
156.09475 -57.77184
156.09476 -57.77184
156.09520 -57.76475
156.09482 -57.77379
156.09482 -57.77379
156.09522 -57.76475
156.09579 -57.78068
156.09585 -57.78071
156.09564 -57.78420
156.09564 -57.78421
156.09608 -57.78084
156.09610 -57.78504
156.09607 -57.78505
156.09687 -57.77433
156.09688 -57.77433
156.09719 -57.77804
156.09719 -57.77804
156.09769 -57.78167
156.09779 -57.76675
156.09780 -57.76677
156.09799 -57.78351
156.09790 -57.78419
156.09850 -57.76189
156.09852 -57.76189
156.09854 -57.76698
156.09842 -57.77085
156.09844 -57.77085
156.09853 -57.77809
156.09817 -57.78508
156.09880 -57.77491
156.09881 -57.77491
156.09854 -57.77810
156.10015 -57.76439
156.10017 -57.76441
156.09996 -57.76471
156.09994 -57.76471
156.10100 -57.78295
156.10101 -57.78296
156.10104 -57.78718
156.10100 -57.78719
156.10122 -57.78593
156.10166 -57.76790
156.10187 -57.77365
156.10165 -57.79113
156.10165 -57.79116
156.10189 -57.77365
156.10268 -57.76541
156.10241 -57.77773
156.10305 -57.76322
156.10306 -57.76322
156.10344 -57.77896
156.10327 -57.79065
156.10331 -57.79068
156.10349 -57.79303
156.10347 -57.79304
156.10452 -57.77101
156.10449 -57.78655
156.10452 -57.78655
156.10498 -57.77913
156.10499 -57.77915
156.10646 -57.76326
156.10645 -57.76327
156.10640 -57.76679
156.10642 -57.76679
156.10718 -57.78782
156.10718 -57.78784
156.10784 -57.76738
156.10785 -57.76738
156.10800 -57.77146
156.10798 -57.78443
156.10809 -57.78443
156.10854 -57.76460
156.10834 -57.77702
156.10836 -57.77702
156.10816 -57.78088
156.10819 -57.78089
156.10855 -57.76460
156.10864 -57.77068
156.10864 -57.77069
156.10918 -57.77411
156.10919 -57.77411
156.11007 -57.77668
156.11007 -57.77667
156.11047 -57.76703
156.11025 -57.77588
156.11025 -57.77590
156.11034 -57.79277
156.11033 -57.79278
156.11058 -57.79522
156.11092 -57.77233
156.11186 -57.76539
156.11168 -57.77065
156.11168 -57.77066
156.11151 -57.78002
156.11152 -57.78002
156.11163 -57.79074
156.11163 -57.79075
156.11213 -57.76575
156.11239 -57.78250
156.11235 -57.79528
156.11233 -57.79530
156.11306 -57.79437
156.11341 -57.77424
156.11325 -57.77920
156.11414 -57.77764
156.11415 -57.77763
156.11501 -57.77803
156.11501 -57.77803
156.11562 -57.77861
156.11557 -57.78056
156.11553 -57.78057
156.11591 -57.76901
156.11564 -57.77861
156.11563 -57.78254
156.11567 -57.79414
156.11658 -57.78680
156.11688 -57.78352
156.11695 -57.78966
156.11775 -57.77297
156.11775 -57.77297
156.11829 -57.77703
156.11829 -57.77703
156.11876 -57.79787
156.11933 -57.79721
156.12058 -57.79765
156.12093 -57.76992
156.12094 -57.76992
156.12096 -57.79339
156.12155 -57.79346
156.12225 -57.79320
156.12259 -57.77212
156.12231 -57.78168
156.12321 -57.77405
156.12338 -57.80285
156.12363 -57.77342
156.12388 -57.77468
156.12408 -57.77306
156.12497 -57.79474
156.12509 -57.79544
156.12536 -57.78327
156.12539 -57.78328
156.12600 -57.77677
156.12567 -57.78030
156.12563 -57.78442
156.12564 -57.78442
156.12765 -57.77681
156.12795 -57.78080
156.12841 -57.77980
156.12841 -57.77980
156.12895 -57.78503
156.12866 -57.78624
156.12865 -57.78624
156.12899 -57.78502
156.12950 -57.78325
156.12950 -57.78325
156.13002 -57.78736
156.13002 -57.78737
156.13060 -57.77903
156.13128 -57.79277
156.13115 -57.79492
156.13178 -57.77658
156.13179 -57.77658
156.13155 -57.78197
156.13156 -57.78197
156.13191 -57.78698
156.13191 -57.78699
156.13246 -57.78926
156.13246 -57.78926
156.13308 -57.77834
156.13302 -57.77835
156.13281 -57.77927
156.13303 -57.78194
156.13304 -57.78194
156.13320 -57.78296
156.13321 -57.78297
156.13439 -57.78224
156.13438 -57.78225
156.13479 -57.78599
156.13479 -57.78599
156.13527 -57.77777
156.13527 -57.77777
156.13742 -57.78352
156.13957 -57.78355
156.13957 -57.78355
156.09553 -57.75634
156.09555 -57.75634
156.09646 -57.75625
156.09646 -57.75626
156.09848 -57.75360
156.10047 -57.75863
156.10090 -57.75898
156.10092 -57.75935
156.10153 -57.75064
156.10154 -57.75065
156.10147 -57.75531
156.10177 -57.75715
156.10207 -57.75221
156.10209 -57.75222
156.10335 -57.75914
156.10337 -57.75914
156.10396 -57.75495
156.10399 -57.75495
156.10461 -57.75360
156.10466 -57.75360
156.10532 -57.75009
156.10536 -57.75777
156.10600 -57.75484
156.10602 -57.75485
156.10663 -57.74344
156.10680 -57.75141
156.10681 -57.75142
156.10692 -57.75281
156.10696 -57.75280
156.10740 -57.75254
156.10762 -57.75657
156.10764 -57.75657
156.10742 -57.75902
156.10844 -57.74393
156.10821 -57.75315
156.10842 -57.75332
156.10838 -57.75330
156.10863 -57.74855
156.10863 -57.74856
156.10891 -57.76195
156.10893 -57.76194
156.10906 -57.76148
156.10908 -57.76148
156.10957 -57.76045
156.10958 -57.76045
156.11009 -57.74083
156.11007 -57.74084
